Region,time,residual
HSE Dublin and Midlands,57,1.6272
HSE Dublin and North East,57,-4.4509
HSE Dublin and South East,57,-1.6055
HSE Mid West,57,4.3925
HSE South West,57,2.8736
HSE West and North West,57,5.1474
HSE Dublin and Midlands,58,-4.0903
HSE Dublin and North East,58,-1.1015
HSE Dublin and South East,58,-3.3944
HSE Mid West,58,7.7504
HSE South West,58,1.0219
HSE West and North West,58,3.9072
HSE Dublin and Midlands,59,-0.7835
HSE Dublin and North East,59,-3.0513
HSE Dublin and South East,59,0.1002
HSE Mid West,59,10.3409
HSE South West,59,0.4946
HSE West and North West,59,-1.7055
HSE Dublin and Midlands,60,-3.682
HSE Dublin and North East,60,-0.8479
HSE Dublin and South East,60,1.4604
HSE Mid West,60,7.6995
HSE South West,60,-5.1724
HSE West and North West,60,4.3425
HSE Dublin and Midlands,61,-0.7006
HSE Dublin and North East,61,1.5021
HSE Dublin and South East,61,-1.0726
HSE Mid West,61,4.9014
HSE South West,61,-2.5027
HSE West and North West,61,-0.482
HSE Dublin and Midlands,62,2.4896
HSE Dublin and North East,62,-0.2873
HSE Dublin and South East,62,-6.5177
HSE Mid West,62,6.8062
HSE South West,62,-3.9079
HSE West and North West,62,2.4846
HSE Dublin and Midlands,63,0.8505
HSE Dublin and North East,63,-5.333
HSE Dublin and South East,63,-1.1502
HSE Mid West,63,3.9388
HSE South West,63,-0.6994
HSE West and North West,63,2.9452
HSE Dublin and Midlands,64,-3.0263
HSE Dublin and North East,64,-2.1107
HSE Dublin and South East,64,-3.7642
HSE Mid West,64,5.8652
HSE South West,64,0.724
HSE West and North West,64,2.1286
HSE Dublin and Midlands,65,-0.9087
HSE Dublin and North East,65,-3.4895
HSE Dublin and South East,65,-1.8862
HSE Mid West,65,8.7159
HSE South West,65,1.0912
HSE West and North West,65,-3.3875
HSE Dublin and Midlands,66,-2.0061
HSE Dublin and North East,66,-1.3537
HSE Dublin and South East,66,0.164
HSE Mid West,66,8.0934
HSE South West,66,-5.2514
HSE West and North West,66,1.5067
HSE Dublin and Midlands,67,-1.8135
HSE Dublin and North East,67,0.6203
HSE Dublin and South East,67,0.9224
HSE Mid West,67,7.9243
HSE South West,67,0.3486
HSE West and North West,67,0.1487
HSE Dublin and Midlands,68,2.8089
HSE Dublin and North East,68,0.4481
HSE Dublin and South East,68,-5.6479
HSE Mid West,68,5.1558
HSE South West,68,-3.2564
HSE West and North West,68,6.2496
HSE Dublin and Midlands,69,0.6108
HSE Dublin and North East,69,-5.3236
HSE Dublin and South East,69,-0.2119
HSE Mid West,69,4.3583
HSE South West,69,-1.3148
HSE West and North West,69,4.57
HSE Dublin and Midlands,70,-4.4173
HSE Dublin and North East,70,-3.0253
HSE Dublin and South East,70,-3.0659
HSE Mid West,70,7.4039
HSE South West,70,0.3111
HSE West and North West,70,1.8058
HSE Dublin and Midlands,71,-2.9133
HSE Dublin and North East,71,-4.3054
HSE Dublin and South East,71,-2.1049
HSE Mid West,71,6.0547
HSE South West,71,2.2382
HSE West and North West,71,-3.3008
HSE Dublin and Midlands,72,-4.2485
HSE Dublin and North East,72,-1.6387
HSE Dublin and South East,72,-0.0233
HSE Mid West,72,5.0044
HSE South West,72,-6.0293
HSE West and North West,72,2.4996
HSE Dublin and Midlands,73,-1.4224
HSE Dublin and North East,73,1.2053
HSE Dublin and South East,73,-0.9472
HSE Mid West,73,6.6747
HSE South West,73,-1.9177
HSE West and North West,73,0.4706
HSE Dublin and Midlands,74,1.4473
HSE Dublin and North East,74,0.8919
HSE Dublin and South East,74,-7.4156
HSE Mid West,74,7.6634
HSE South West,74,-2.8419
HSE West and North West,74,0.9384
HSE Dublin and Midlands,75,0.8809
HSE Dublin and North East,75,-7.002
HSE Dublin and South East,75,-3.0321
HSE Mid West,75,5.0867
HSE South West,75,-0.5633
HSE West and North West,75,3.045
HSE Dublin and Midlands,76,-3.5241
HSE Dublin and North East,76,-2.9854
HSE Dublin and South East,76,-3.2408
HSE Mid West,76,4.2984
HSE South West,76,1.8795
HSE West and North West,76,2.558
HSE Dublin and Midlands,77,-1.734
HSE Dublin and North East,77,-4.42
HSE Dublin and South East,77,-2.375
HSE Mid West,77,5.2734
HSE South West,77,1.4275
HSE West and North West,77,1.1775
HSE Dublin and Midlands,78,-4.6155
HSE Dublin and North East,78,-1.3792
HSE Dublin and South East,78,0.0146
HSE Mid West,78,4.1198
HSE South West,78,-5.6425
HSE West and North West,78,3.016
HSE Dublin and Midlands,79,-3.0369
HSE Dublin and North East,79,1.2969
HSE Dublin and South East,79,-0.3477
HSE Mid West,79,2.0318
HSE South West,79,-1.276
HSE West and North West,79,-1.0547
HSE Dublin and Midlands,80,-0.2978
HSE Dublin and North East,80,-0.243
HSE Dublin and South East,80,-7.0847
HSE Mid West,80,6.0163
HSE South West,80,-3.6541
