"time","Region","fitted"
51,"HSE Dublin and South East",3.59249802413588
51,"HSE Mid West",9.01014208147166
51,"HSE South West",5.10922107229973
51,"HSE West and North West",7.5672007985998
52,"HSE Dublin and Midlands",4.2383658019226
52,"HSE Dublin and North East",1.71171517124413
52,"HSE Dublin and South East",2.41984231020438
52,"HSE Mid West",8.11968893074519
52,"HSE South West",4.76342344103142
52,"HSE West and North West",6.11241800883724
53,"HSE Dublin and Midlands",0.655771781683091
53,"HSE Dublin and North East",0.018086858535906
53,"HSE Dublin and South East",1.08317670898618
53,"HSE Mid West",1.96567339554928
53,"HSE South West",0.886943612586149
53,"HSE West and North West",2.02273736528082
54,"HSE Dublin and Midlands",4.92772572625741
54,"HSE Dublin and North East",2.59456429285198
54,"HSE Dublin and South East",3.82420747556357
54,"HSE Mid West",8.31948716938725
54,"HSE South West",6.35942543977707
54,"HSE West and North West",8.48670579374151
55,"HSE Dublin and Midlands",4.43091678553173
55,"HSE Dublin and North East",2.56269640094235
55,"HSE Dublin and South East",2.30719611740102
55,"HSE Mid West",7.3965276720507
55,"HSE South West",6.04043745987185
55,"HSE West and North West",6.2130250092107
56,"HSE Dublin and Midlands",4.32002809325604
56,"HSE Dublin and North East",3.07352867544423
56,"HSE Dublin and South East",3.02283846203101
56,"HSE Mid West",7.89789790846775
56,"HSE South West",6.10940747004568
56,"HSE West and North West",6.46771053730774
57,"HSE Dublin and Midlands",4.64159643702291
57,"HSE Dublin and North East",3.07831442246538
57,"HSE Dublin and South East",3.28691374540491
57,"HSE Mid West",8.5550590324418
57,"HSE South West",6.75800689824412
57,"HSE West and North West",5.88765131872248
58,"HSE Dublin and Midlands",5.10501695993141
58,"HSE Dublin and North East",2.9515544298981
58,"HSE Dublin and South East",3.15338830565337
58,"HSE Mid West",9.57941145102157
58,"HSE South West",6.69783534403747
58,"HSE West and North West",6.79185068777188
59,"HSE Dublin and Midlands",4.3072735939731
59,"HSE Dublin and North East",2.79915272165058
59,"HSE Dublin and South East",3.38401986423549
59,"HSE Mid West",10.011633908928
59,"HSE South West",4.87728698199444
59,"HSE West and North West",6.35556012903351
60,"HSE Dublin and Midlands",4.8033700226506
60,"HSE Dublin and North East",3.1998314814652
60,"HSE Dublin and South East",4.01310904923974
60,"HSE Mid West",10.890474876741
60,"HSE South West",4.53290379173546
60,"HSE West and North West",6.73430192078657
61,"HSE Dublin and Midlands",4.19788954051305
61,"HSE Dublin and North East",2.6410522393716
61,"HSE Dublin and South East",3.87835895483491
61,"HSE Mid West",9.56228275939535
61,"HSE South West",4.25659667918948
61,"HSE West and North West",7.38056396018655
62,"HSE Dublin and Midlands",4.67836958756471
62,"HSE Dublin and North East",3.08655753470383
62,"HSE Dublin and South East",2.98014820827797
62,"HSE Mid West",9.0958653806784
62,"HSE South West",3.89733079647582
62,"HSE West and North West",6.39967629910463
63,"HSE Dublin and Midlands",4.95236467260722
63,"HSE Dublin and North East",2.47324872997591
63,"HSE Dublin and South East",3.05264752233281
63,"HSE Mid West",9.65087622316526
63,"HSE South West",4.69484211459715
63,"HSE West and North West",5.4692109965627
64,"HSE Dublin and Midlands",4.73229524282113
64,"HSE Dublin and North East",2.39784260402908
64,"HSE Dublin and South East",3.11722046852909
64,"HSE Mid West",9.29302547492845
64,"HSE South West",3.94849341800602
64,"HSE West and North West",4.99780318509443
65,"HSE Dublin and Midlands",4.77833005178307
65,"HSE Dublin and North East",2.84966592920011
65,"HSE Dublin and South East",3.39188378266113
65,"HSE Mid West",8.82139412563641
65,"HSE South West",4.61865919930637
65,"HSE West and North West",5.0377588563327
66,"HSE Dublin and Midlands",4.16580505864445
66,"HSE Dublin and North East",2.58330185086245
66,"HSE Dublin and South East",2.83683575268655
66,"HSE Mid West",9.65848526464991
66,"HSE South West",4.83382891831509
66,"HSE West and North West",5.91084210563649
67,"HSE Dublin and Midlands",4.44534680979981
67,"HSE Dublin and North East",2.2444182804811
67,"HSE Dublin and South East",3.12510779048134
67,"HSE Mid West",9.72623104706862
67,"HSE South West",3.84577971057848
67,"HSE West and North West",5.41829420882966
68,"HSE Dublin and Midlands",4.58208731081099
68,"HSE Dublin and North East",2.15609115259149
68,"HSE Dublin and South East",3.52965535578685
68,"HSE Mid West",8.73685538395645
68,"HSE South West",4.90017878083431
68,"HSE West and North West",6.65450839118678
69,"HSE Dublin and Midlands",4.74817530609949
69,"HSE Dublin and North East",2.58021067813739
69,"HSE Dublin and South East",3.14664794771693
69,"HSE Mid West",8.5605176917169
69,"HSE South West",4.921985308095
69,"HSE West and North West",7.81187228134101
70,"HSE Dublin and Midlands",4.3560490171387
70,"HSE Dublin and North East",2.61063950117099
70,"HSE Dublin and South East",3.32273141242717
70,"HSE Mid West",9.37305461685634
70,"HSE South West",3.48387404439614
70,"HSE West and North West",6.16148138964668
71,"HSE Dublin and Midlands",3.56563203885213
71,"HSE Dublin and North East",2.54261124102495
71,"HSE Dublin and South East",3.04525065651817
71,"HSE Mid West",9.59204202531441
71,"HSE South West",3.77795545823906
71,"HSE West and North West",4.78906469860552
72,"HSE Dublin and Midlands",3.59066667244781
72,"HSE Dublin and North East",2.04839308167077
72,"HSE Dublin and South East",2.70213070163081
72,"HSE Mid West",8.14658997493572
72,"HSE South West",4.60123388650948
72,"HSE West and North West",4.72046290036936
73,"HSE Dublin and Midlands",3.23090821153513
73,"HSE Dublin and North East",2.2630237213799
73,"HSE Dublin and South East",2.44329474819947
73,"HSE Mid West",7.96195738474893
