Region,time,residual
HSE Dublin and Midlands,139,-1.3026
HSE Dublin and North East,139,0.0617
HSE Dublin and South East,139,0.4227
HSE Mid West,139,2.8795
HSE South West,139,-0.6084
HSE West and North West,139,1.2953
HSE Dublin and Midlands,140,0.4464
HSE Dublin and North East,140,-0.2002
HSE Dublin and South East,140,-0.1598
HSE Mid West,140,0.611
HSE South West,140,0.388
HSE West and North West,140,0.735
HSE Dublin and Midlands,141,-0.2436
HSE Dublin and North East,141,-0.1843
HSE Dublin and South East,141,-0.2225
HSE Mid West,141,0.8106
HSE South West,141,0.9072
HSE West and North West,141,0.0896
HSE Dublin and Midlands,142,-0.9731
HSE Dublin and North East,142,0.0523
HSE Dublin and South East,142,0.738
HSE Mid West,142,-0.5085
HSE South West,142,-1.2323
HSE West and North West,142,2.002
HSE Dublin and Midlands,143,-0.4166
HSE Dublin and North East,143,-0.0685
HSE Dublin and South East,143,0.5503
HSE Mid West,143,1.171
HSE South West,143,-0.4077
HSE West and North West,143,-0.136
HSE Dublin and Midlands,144,-0.7965
HSE Dublin and North East,144,0.006
HSE Dublin and South East,144,-0.8147
HSE Mid West,144,1.1124
HSE South West,144,0.6531
HSE West and North West,144,-2.56
HSE Dublin and Midlands,145,0.0334
HSE Dublin and North East,145,0.3982
HSE Dublin and South East,145,-0.4828
HSE Mid West,145,2.2658
HSE South West,145,0.2757
HSE West and North West,145,0.432
HSE Dublin and Midlands,146,-0.3553
HSE Dublin and North East,146,-0.6396
HSE Dublin and South East,146,0.2904
HSE Mid West,146,-2.2233
HSE South West,146,0.7523
HSE West and North West,146,1.3431
HSE Dublin and Midlands,147,-1.1515
HSE Dublin and North East,147,-0.655
HSE Dublin and South East,147,0.0906
HSE Mid West,147,-2.5908
HSE South West,147,0.7935
HSE West and North West,147,-1.6612
HSE Dublin and Midlands,148,-0.7983
HSE Dublin and North East,148,-0.4295
HSE Dublin and South East,148,-0.1322
HSE Mid West,148,-1.9748
HSE South West,148,-0.8521
HSE West and North West,148,0.3048
HSE Dublin and Midlands,149,-0.2728
HSE Dublin and North East,149,-0.3012
HSE Dublin and South East,149,-0.239
HSE Mid West,149,-1.0074
HSE South West,149,0.6259
HSE West and North West,149,-0.91
HSE Dublin and Midlands,150,-0.1551
HSE Dublin and North East,150,0.1776
HSE Dublin and South East,150,1.5428
HSE Mid West,150,-1.3352
HSE South West,150,1.2884
HSE West and North West,150,1.1806
HSE Dublin and Midlands,151,-0.316
HSE Dublin and North East,151,-0.257
HSE Dublin and South East,151,-0.2428
HSE Mid West,151,-1.5004
HSE South West,151,-2.7607
HSE West and North West,151,-0.6249
