"week_start","hospital","region","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week"
2023-01-16,Portiuncula University Hospital,HSE West and North West,53,0,53,79,55,4,0,7
2023-01-16,Sligo University Hospital,HSE West and North West,31,58,89,46,75,34,0,7
2023-01-23,CHI at Crumlin,HSE Dublin and Midlands,58,0,58,0,14,1,0,7
2023-01-23,CHI at Tallaght,HSE Dublin and Midlands,8,0,8,0,6,0,0,7
2023-01-23,CHI at Temple Street,HSE Dublin and Midlands,84,0,84,0,19,15,0,7
2023-01-23,MRH Mullingar,HSE Dublin and Midlands,31,0,31,0,10,5,0,7
2023-01-23,MRH Portlaoise,HSE Dublin and Midlands,9,0,9,0,72,0,0,7
2023-01-23,MRH Tullamore,HSE Dublin and Midlands,9,0,9,59,32,0,0,7
2023-01-23,Naas General Hospital,HSE Dublin and Midlands,47,19,66,23,86,5,0,7
2023-01-23,St. James's Hospital,HSE Dublin and Midlands,51,0,51,0,390,0,0,7
2023-01-23,Tallaght University Hospital,HSE Dublin and Midlands,139,0,139,18,330,26,0,7
2023-01-23,Beaumont Hospital,HSE Dublin and North East,64,0,64,11,149,0,0,7
2023-01-23,Cavan General Hospital,HSE Dublin and North East,7,3,10,16,13,0,0,7
2023-01-23,Connolly Hospital,HSE Dublin and North East,1,0,1,160,57,0,0,7
2023-01-23,Mater Misericordiae University Hospital,HSE Dublin and North East,127,0,127,0,306,3,0,7
2023-01-23,Our Lady of Lourdes Hospital,HSE Dublin and North East,20,4,24,69,179,0,0,7
2023-01-23,Our Lady's Hospital Navan,HSE Dublin and North East,14,0,14,117,50,0,0,7
2023-01-23,St Luke's General Hospital Kilkenny,HSE Dublin and South East,70,11,81,119,77,23,0,7
2023-01-23,St. Vincent's University Hospital,HSE Dublin and South East,113,0,113,147,324,14,0,7
2023-01-23,Tipperary University Hospital,HSE Dublin and South East,94,0,94,99,65,27,0,7
2023-01-23,UH Waterford,HSE Dublin and South East,0,0,0,287,200,0,0,7
2023-01-23,Wexford General Hospital,HSE Dublin and South East,54,21,75,80,65,14,0,7
2023-01-23,UH Limerick,HSE Mid West,52,110,162,289,89,7,0,7
2023-01-23,Cork University Hospital,HSE South West,183,33,216,173,325,1,0,7
2023-01-23,Mercy University Hospital,HSE South West,66,0,66,49,127,11,0,7
2023-01-23,UH Kerry,HSE South West,147,9,156,44,92,45,0,7
2023-01-23,Galway University Hospital,HSE West and North West,140,52,192,111,117,30,0,7
2023-01-23,Letterkenny University Hospital,HSE West and North West,28,18,46,18,146,15,0,7
2023-01-23,Mayo University Hospital,HSE West and North West,55,55,110,25,73,34,0,7
2023-01-23,Portiuncula University Hospital,HSE West and North West,58,6,64,52,53,11,0,7
2023-01-23,Sligo University Hospital,HSE West and North West,46,35,81,52,67,22,0,7
2023-01-30,CHI at Crumlin,HSE Dublin and Midlands,71,0,71,2,14,2,0,7
2023-01-30,CHI at Tallaght,HSE Dublin and Midlands,20,0,20,0,7,1,0,7
2023-01-30,CHI at Temple Street,HSE Dublin and Midlands,81,0,81,4,21,8,0,7
2023-01-30,MRH Mullingar,HSE Dublin and Midlands,34,0,34,0,8,6,0,7
