"week_start","region","region_population","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week","trolleys_per_10k"
2023-08-07,HSE West and North West,759652,405,191,596,389,427,161,0,7,7.8457
2023-08-14,HSE Dublin and Midlands,1077639,423,29,452,148,955,68,16,7,4.1944
2023-08-14,HSE Dublin and North East,1187082,229,10,239,241,349,16,10,7,2.0133
2023-08-14,HSE Dublin and South East,971093,215,35,250,538,511,28,6,7,2.5744
2023-08-14,HSE Mid West,413059,123,170,293,237,84,26,12,7,7.0934
2023-08-14,HSE South West,740614,254,30,284,241,546,20,23,7,3.8347
2023-08-14,HSE West and North West,759652,303,205,508,423,496,150,11,7,6.6873
2023-08-21,HSE Dublin and Midlands,1077639,372,15,387,136,982,31,6,7,3.5912
2023-08-21,HSE Dublin and North East,1187082,193,11,204,219,348,8,4,7,1.7185
2023-08-21,HSE Dublin and South East,971093,233,28,261,428,538,41,10,7,2.6877
2023-08-21,HSE Mid West,413059,105,207,312,264,65,30,1,7,7.5534
2023-08-21,HSE South West,740614,381,52,433,264,593,69,55,7,5.8465
2023-08-21,HSE West and North West,759652,299,182,481,296,498,127,7,7,6.3318
2023-08-28,HSE Dublin and Midlands,1077639,388,26,414,83,946,20,6,7,3.8417
2023-08-28,HSE Dublin and North East,1187082,141,13,154,223,326,2,7,7,1.2973
2023-08-28,HSE Dublin and South East,971093,187,27,214,380,608,40,0,7,2.2037
2023-08-28,HSE Mid West,413059,120,232,352,238,64,34,2,7,8.5218
2023-08-28,HSE South West,740614,453,60,513,263,672,113,47,7,6.9267
2023-08-28,HSE West and North West,759652,306,208,514,369,542,142,6,7,6.7663
2023-09-04,HSE Dublin and Midlands,1077639,466,40,506,152,917,83,8,7,4.6954
2023-09-04,HSE Dublin and North East,1187082,177,10,187,135,283,7,2,7,1.5753
2023-09-04,HSE Dublin and South East,971093,191,31,222,405,598,26,0,7,2.2861
2023-09-04,HSE Mid West,413059,164,241,405,284,72,66,1,7,9.8049
2023-09-04,HSE South West,740614,395,46,441,256,733,82,42,7,5.9545
2023-09-04,HSE West and North West,759652,378,224,602,381,577,164,11,7,7.9247
2023-09-11,HSE Dublin and Midlands,1077639,465,29,494,117,931,61,4,7,4.5841
2023-09-11,HSE Dublin and North East,1187082,158,7,165,167,215,10,4,7,1.3900
2023-09-11,HSE Dublin and South East,971093,191,47,238,442,635,23,1,7,2.4508
2023-09-11,HSE Mid West,413059,137,241,378,288,77,36,0,7,9.1512
2023-09-11,HSE South West,740614,308,30,338,215,682,58,26,7,4.5638
2023-09-11,HSE West and North West,759652,280,194,474,363,634,119,7,7,6.2397
2023-09-18,HSE Dublin and Midlands,1077639,456,22,478,172,960,62,4,7,4.4356
2023-09-18,HSE Dublin and North East,1187082,208,13,221,148,243,13,5,7,1.8617
2023-09-18,HSE Dublin and South East,971093,311,38,349,358,628,70,9,7,3.5939
2023-09-18,HSE Mid West,413059,138,247,385,238,84,38,0,7,9.3207
2023-09-18,HSE South West,740614,347,47,394,245,610,51,26,7,5.3199
2023-09-18,HSE West and North West,759652,267,144,411,329,592,92,2,7,5.4104
2023-09-25,HSE Dublin and Midlands,1077639,567,40,607,274,984,71,11,7,5.6327
2023-09-25,HSE Dublin and North East,1187082,256,21,277,206,304,23,6,7,2.3335
2023-09-25,HSE Dublin and South East,971093,235,44,279,422,635,51,0,7,2.8731
2023-09-25,HSE Mid West,413059,173,246,419,317,69,60,6,7,10.1438
2023-09-25,HSE South West,740614,438,52,490,264,634,88,59,7,6.6161
2023-09-25,HSE West and North West,759652,230,187,417,332,592,117,0,7,5.4894
2023-10-02,HSE Dublin and Midlands,1077639,545,49,594,213,949,75,7,7,5.5120
2023-10-02,HSE Dublin and North East,1187082,264,11,275,200,353,17,5,7,2.3166
2023-10-02,HSE Dublin and South East,971093,218,58,276,611,601,54,4,7,2.8422
2023-10-02,HSE Mid West,413059,171,246,417,324,77,53,7,7,10.0954
2023-10-02,HSE South West,740614,381,29,410,315,678,76,52,7,5.5359
2023-10-02,HSE West and North West,759652,302,164,466,279,626,111,1,7,6.1344
2023-10-09,HSE Dublin and Midlands,1077639,543,72,615,192,955,77,11,7,5.7069
2023-10-09,HSE Dublin and North East,1187082,286,19,305,192,401,36,18,7,2.5693
2023-10-09,HSE Dublin and South East,971093,236,68,304,615,619,58,2,7,3.1305
