week_start,hospital,ed_trolleys,ward_trolleys,total_trolleys,days_in_week
2023-03-13,Sligo University Hospital,57,41,98,7
2023-03-13,St Luke's General Hospital Kilkenny,83,17,100,7
2023-03-13,St. James's Hospital,170,0,170,7
2023-03-13,St. Vincent's University Hospital,221,0,221,7
2023-03-13,Tallaght University Hospital,212,0,212,7
2023-03-13,Tipperary University Hospital,60,0,60,7
2023-03-13,UH Kerry,105,0,105,7
2023-03-13,UH Limerick,150,154,304,7
2023-03-13,UH Waterford,0,0,0,7
2023-03-13,Wexford General Hospital,0,0,0,7
2023-03-20,Beaumont Hospital,7,0,7,7
2023-03-20,CHI at Crumlin,77,0,77,7
2023-03-20,CHI at Tallaght,14,0,14,7
2023-03-20,CHI at Temple Street,57,0,57,7
2023-03-20,Cavan General Hospital,64,3,67,7
2023-03-20,Connolly Hospital,6,0,6,7
2023-03-20,Cork University Hospital,210,52,262,7
2023-03-20,Galway University Hospital,205,79,284,7
2023-03-20,Letterkenny University Hospital,97,40,137,7
2023-03-20,MRH Mullingar,71,6,77,7
2023-03-20,MRH Portlaoise,52,0,52,7
2023-03-20,MRH Tullamore,3,0,3,7
2023-03-20,Mater Misericordiae University Hospital,142,0,142,7
2023-03-20,Mayo University Hospital,75,80,151,7
2023-03-20,Mercy University Hospital,81,2,83,7
2023-03-20,Naas General Hospital,64,15,79,7
2023-03-20,Our Lady of Lourdes Hospital,91,8,99,7
2023-03-20,Our Lady's Hospital Navan,5,0,5,7
2023-03-20,Portiuncula University Hospital,41,5,46,7
2023-03-20,Sligo University Hospital,50,57,107,7
2023-03-20,St Luke's General Hospital Kilkenny,76,27,103,7
2023-03-20,St. James's Hospital,239,0,239,7
2023-03-20,St. Vincent's University Hospital,257,0,257,7
2023-03-20,Tallaght University Hospital,156,0,156,7
2023-03-20,Tipperary University Hospital,85,0,85,7
2023-03-20,UH Kerry,127,0,127,7
2023-03-20,UH Limerick,177,183,360,7
2023-03-20,UH Waterford,0,0,0,7
2023-03-20,Wexford General Hospital,3,0,3,7
2023-03-27,Beaumont Hospital,24,0,24,7
2023-03-27,CHI at Crumlin,60,0,60,7
2023-03-27,CHI at Tallaght,12,0,12,7
2023-03-27,CHI at Temple Street,79,0,79,7
2023-03-27,Cavan General Hospital,54,8,62,7
2023-03-27,Connolly Hospital,9,0,9,7
2023-03-27,Cork University Hospital,255,64,319,7
2023-03-27,Galway University Hospital,131,67,198,7
2023-03-27,Letterkenny University Hospital,102,34,136,7
2023-03-27,MRH Mullingar,85,5,90,7
2023-03-27,MRH Portlaoise,26,0,26,7
2023-03-27,MRH Tullamore,4,0,4,7
2023-03-27,Mater Misericordiae University Hospital,159,0,159,7
2023-03-27,Mayo University Hospital,87,65,152,7
2023-03-27,Mercy University Hospital,126,0,126,7
2023-03-27,Naas General Hospital,27,2,29,7
2023-03-27,Our Lady of Lourdes Hospital,78,11,89,7
2023-03-27,Our Lady's Hospital Navan,1,0,1,7
2023-03-27,Portiuncula University Hospital,44,6,50,7
2023-03-27,Sligo University Hospital,76,57,133,7
2023-03-27,St Luke's General Hospital Kilkenny,85,13,98,7
2023-03-27,St. James's Hospital,198,0,198,7
2023-03-27,St. Vincent's University Hospital,216,1,217,7
2023-03-27,Tallaght University Hospital,219,0,219,7
2023-03-27,Tipperary University Hospital,51,0,51,7
2023-03-27,UH Kerry,77,0,77,7
2023-03-27,UH Limerick,192,152,344,7
2023-03-27,UH Waterford,0,0,0,7
2023-03-27,Wexford General Hospital,4,5,3,7
2023-04-03,Beaumont Hospital,14,0,14,7
2023-04-03,CHI at Crumlin,52,0,52,7
2023-04-03,CHI at Tallaght,11,0,11,7
2023-04-03,CHI at Temple Street,44,4,46,7
2023-04-03,Cavan General Hospital,14,7,19,7
2023-04-03,Connolly Hospital,7,0,7,7
2023-04-03,Cork University Hospital,203,58,261,7
2023-04-03,Galway University Hospital,184,67,251,7
2023-04-03,Letterkenny University Hospital,74,52,126,7
2023-04-03,MRH Mullingar,42,0,42,7
2023-04-03,MRH Portlaoise,10,0,10,7
2023-04-03,MRH Tullamore,0,0,0,7
2023-04-03,Mater Misericordiae University Hospital,162,0,162,7
2023-04-03,Mayo University Hospital,106,42,148,7
2023-04-03,Mercy University Hospital,99,0,99,7
2023-04-03,Naas General Hospital,38,4,42,7
2023-04-03,Our Lady of Lourdes Hospital,48,6,54,7
2023-04-03,Our Lady's Hospital Navan,9,0,9,7
2023-04-03,Portiuncula University Hospital,43,0,43,7
2023-04-03,Sligo University Hospital,80,56,136,7
2023-04-03,St Luke's General Hospital Kilkenny,48,5,53,7
2023-04-03,St. James's Hospital,134,0,134,7
2023-04-03,St. Vincent's University Hospital,115,0,115,7
2023-04-03,Tallaght University Hospital,153,0,153,7
2023-04-03,Tipperary University Hospital,22,0,22,7
2023-04-03,UH Kerry,73,0,73,7
2023-04-03,UH Limerick,161,171,332,7
2023-04-03,UH Waterford,0,0,0,7
2023-04-03,Wexford General Hospital,2,4,6,7
2023-04-10,Beaumont Hospital,2,0,2,7
2023-04-10,CHI at Crumlin,29,0,29,7
2023-04-10,CHI at Tallaght,2,0,2,7
2023-04-10,CHI at Temple Street,27,0,27,7
2023-04-10,Cavan General Hospital,14,2,14,7
2023-04-10,Connolly Hospital,5,0,5,7
2023-04-10,Cork University Hospital,185,55,240,7
2023-04-10,Galway University Hospital,173,50,223,7
2023-04-10,Letterkenny University Hospital,77,19,96,7
2023-04-10,MRH Mullingar,54,0,54,7
2023-04-10,MRH Portlaoise,3,0,3,7
2023-04-10,MRH Tullamore,0,0,0,7
2023-04-10,Mater Misericordiae University Hospital,129,0,129,7
2023-04-10,Mayo University Hospital,123,55,178,7
2023-04-10,Mercy University Hospital,140,0,140,7
2023-04-10,Naas General Hospital,60,18,78,7
2023-04-10,Our Lady of Lourdes Hospital,13,0,13,7
2023-04-10,Our Lady's Hospital Navan,2,0,2,7
2023-04-10,Portiuncula University Hospital,28,1,29,7
2023-04-10,Sligo University Hospital,58,60,118,7
2023-04-10,St Luke's General Hospital Kilkenny,88,31,119,7
2023-04-10,St. James's Hospital,149,0,149,7
2023-04-10,St. Vincent's University Hospital,178,0,178,7
2023-04-10,Tallaght University Hospital,220,0,220,7
2023-04-10,Tipperary University Hospital,14,0,14,7
2023-04-10,UH Kerry,80,0,80,7
2023-04-10,UH Limerick,118,171,289,7
2023-04-10,UH Waterford,0,0,0,7
2023-04-10,Wexford General Hospital,3,4,1,7
2023-04-17,Beaumont Hospital,17,0,17,7
2023-04-17,CHI at Crumlin,58,0,58,7
2023-04-17,CHI at Tallaght,6,0,6,7
2023-04-17,CHI at Temple Street,43,13,56,7
2023-04-17,Cavan General Hospital,16,0,16,7
2023-04-17,Connolly Hospital,1,0,1,7
2023-04-17,Cork University Hospital,209,84,293,7
2023-04-17,Galway University Hospital,120,55,175,7
2023-04-17,Letterkenny University Hospital,73,17,90,7
2023-04-17,MRH Mullingar,34,0,34,7
2023-04-17,MRH Portlaoise,16,0,16,7
2023-04-17,MRH Tullamore,0,0,0,7
2023-04-17,Mater Misericordiae University Hospital,147,0,147,7
2023-04-17,Mayo University Hospital,84,76,160,7
2023-04-17,Mercy University Hospital,138,0,138,7
2023-04-17,Naas General Hospital,43,23,66,7
2023-04-17,Our Lady of Lourdes Hospital,33,5,38,7
2023-04-17,Our Lady's Hospital Navan,9,0,9,7
2023-04-17,Portiuncula University Hospital,34,6,40,7
2023-04-17,Sligo University Hospital,78,71,149,7
2023-04-17,St Luke's General Hospital Kilkenny,95,42,137,7
2023-04-17,St. James's Hospital,142,0,142,7
2023-04-17,St. Vincent's University Hospital,194,0,194,7
2023-04-17,Tallaght University Hospital,239,0,239,7
2023-04-17,Tipperary University Hospital,67,0,67,7
2023-04-17,UH Kerry,57,0,57,7
2023-04-17,UH Limerick,144,191,335,7
2023-04-17,UH Waterford,0,0,0,7
2023-04-17,Wexford General Hospital,11,17,18,7
2023-04-24,Beaumont Hospital,0,0,0,7
2023-04-24,CHI at Crumlin,46,0,46,7
2023-04-24,CHI at Tallaght,5,0,5,7
2023-04-24,CHI at Temple Street,48,11,59,7
2023-04-24,Cavan General Hospital,47,5,52,7
2023-04-24,Connolly Hospital,0,0,0,7
2023-04-24,Cork University Hospital,181,69,250,7
2023-04-24,Galway University Hospital,136,43,179,7
2023-04-24,Letterkenny University Hospital,47,25,72,7
2023-04-24,MRH Mullingar,56,0,56,7
2023-04-24,MRH Portlaoise,28,0,28,7
2023-04-24,MRH Tullamore,0,0,0,7
2023-04-24,Mater Misericordiae University Hospital,115,0,115,7
2023-04-24,Mayo University Hospital,68,42,110,7
2023-04-24,Mercy University Hospital,136,0,136,7
2023-04-24,Naas General Hospital,48,20,68,7
2023-04-24,Our Lady of Lourdes Hospital,35,2,37,7
2023-04-24,Our Lady's Hospital Navan,12,0,12,7
2023-04-24,Portiuncula University Hospital,55,2,57,7
2023-04-24,Sligo University Hospital,76,62,138,7
2023-04-24,St Luke's General Hospital Kilkenny,67,39,98,7
2023-04-24,St. James's Hospital,140,0,140,7
2023-04-24,St. Vincent's University Hospital,247,0,247,7
2023-04-24,Tallaght University Hospital,218,0,218,7
2023-04-24,Tipperary University Hospital,68,0,68,7
2023-04-24,UH Kerry,59,0,59,7
2023-04-24,UH Limerick,154,193,347,7
2023-04-24,UH Waterford,0,0,0,7
2023-04-24,Wexford General Hospital,29,16,45,7
2023-05-01,Beaumont Hospital,17,0,17,7
2023-05-01,CHI at Crumlin,49,0,49,7
2023-05-01,CHI at Tallaght,1,0,1,7
2023-05-01,CHI at Temple Street,33,23,54,7
2023-05-01,Cavan General Hospital,72,3,73,7
2023-05-01,Connolly Hospital,0,0,0,7
2023-05-01,Cork University Hospital,163,53,216,7
2023-05-01,Galway University Hospital,155,49,204,7
2023-05-01,Letterkenny University Hospital,65,28,93,7
2023-05-01,MRH Mullingar,34,0,34,7
2023-05-01,MRH Portlaoise,43,0,43,7
2023-05-01,MRH Tullamore,0,0,0,7
2023-05-01,Mater Misericordiae University Hospital,156,0,156,7
2023-05-01,Mayo University Hospital,104,63,167,7
2023-05-01,Mercy University Hospital,95,0,95,7
2023-05-01,Naas General Hospital,86,23,109,7
2023-05-01,Our Lady of Lourdes Hospital,41,5,46,7
2023-05-01,Our Lady's Hospital Navan,24,0,24,7
2023-05-01,Portiuncula University Hospital,70,6,70,7
2023-05-01,Sligo University Hospital,58,78,136,7
