date,hospital,ed_trolleys,ward_trolleys,total_trolleys
2023-01-13,Tipperary University Hospital,3,0,3
2023-01-13,UH Kerry,13,0,13
2023-01-13,UH Limerick,2,11,13
2023-01-13,UH Waterford,0,0,0
2023-01-13,Wexford General Hospital,8,1,9
2023-01-14,Beaumont Hospital,0,0,0
2023-01-14,CHI at Crumlin,4,0,4
2023-01-14,CHI at Tallaght,0,0,0
2023-01-14,CHI at Temple Street,3,0,3
2023-01-14,Cavan General Hospital,2,0,2
2023-01-14,Connolly Hospital,0,0,0
2023-01-14,Cork University Hospital,22,0,22
2023-01-14,Galway University Hospital,13,1,14
2023-01-14,Letterkenny University Hospital,15,0,15
2023-01-14,MRH Mullingar,2,0,2
2023-01-14,MRH Portlaoise,0,0,0
2023-01-14,MRH Tullamore,0,0,0
2023-01-14,Mater Misericordiae University Hospital,6,0,6
2023-01-14,Mayo University Hospital,9,5,14
2023-01-14,Mercy University Hospital,10,0,10
2023-01-14,Naas General Hospital,15,0,15
2023-01-14,Our Lady of Lourdes Hospital,4,0,4
2023-01-14,Our Lady's Hospital Navan,0,0,0
2023-01-14,Portiuncula University Hospital,4,0,4
2023-01-14,Sligo University Hospital,7,8,15
2023-01-14,St Luke's General Hospital Kilkenny,1,6,7
2023-01-14,St. James's Hospital,18,0,18
2023-01-14,St. Vincent's University Hospital,26,0,26
2023-01-14,Tallaght University Hospital,26,0,26
2023-01-14,Tipperary University Hospital,2,0,2
2023-01-14,UH Kerry,12,0,12
2023-01-14,UH Limerick,4,5,9
2023-01-14,UH Waterford,0,0,0
2023-01-14,Wexford General Hospital,1,0,1
2023-01-15,Beaumont Hospital,3,0,3
2023-01-15,CHI at Crumlin,2,0,2
2023-01-15,CHI at Tallaght,1,0,1
2023-01-15,CHI at Temple Street,6,0,6
2023-01-15,Cavan General Hospital,1,1,2
2023-01-15,Connolly Hospital,0,0,0
2023-01-15,Cork University Hospital,10,2,12
2023-01-15,Galway University Hospital,14,0,14
2023-01-15,Letterkenny University Hospital,14,0,14
2023-01-15,MRH Mullingar,6,0,6
2023-01-15,MRH Portlaoise,0,0,0
2023-01-15,MRH Tullamore,0,0,0
2023-01-15,Mater Misericordiae University Hospital,11,0,11
2023-01-15,Mayo University Hospital,16,6,22
2023-01-15,Mercy University Hospital,8,0,8
2023-01-15,Naas General Hospital,16,4,20
2023-01-15,Our Lady of Lourdes Hospital,9,1,10
2023-01-15,Our Lady's Hospital Navan,0,0,0
2023-01-15,Portiuncula University Hospital,3,0,3
2023-01-15,Sligo University Hospital,4,11,15
2023-01-15,St Luke's General Hospital Kilkenny,13,6,19
2023-01-15,St. James's Hospital,5,0,5
2023-01-15,St. Vincent's University Hospital,11,0,11
2023-01-15,Tallaght University Hospital,24,0,24
2023-01-15,Tipperary University Hospital,5,0,5
2023-01-15,UH Kerry,13,0,13
2023-01-15,UH Limerick,1,24,25
2023-01-15,UH Waterford,0,0,0
2023-01-15,Wexford General Hospital,4,1,5
2023-01-16,Beaumont Hospital,6,0,6
2023-01-16,CHI at Crumlin,3,0,3
2023-01-16,CHI at Tallaght,1,0,1
2023-01-16,CHI at Temple Street,7,0,7
2023-01-16,Cavan General Hospital,6,1,7
2023-01-16,Connolly Hospital,0,0,0
2023-01-16,Cork University Hospital,24,3,27
2023-01-16,Galway University Hospital,16,4,20
2023-01-16,Letterkenny University Hospital,29,0,29
2023-01-16,MRH Mullingar,6,0,6
2023-01-16,MRH Portlaoise,0,0,0
2023-01-16,MRH Tullamore,0,0,0
2023-01-16,Mater Misericordiae University Hospital,22,0,22
2023-01-16,Mayo University Hospital,12,9,21
2023-01-16,Mercy University Hospital,6,0,6
2023-01-16,Naas General Hospital,17,5,22
2023-01-16,Our Lady of Lourdes Hospital,14,2,16
2023-01-16,Our Lady's Hospital Navan,0,0,0
2023-01-16,Portiuncula University Hospital,5,0,5
2023-01-16,Sligo University Hospital,4,17,21
2023-01-16,St Luke's General Hospital Kilkenny,20,4,24
2023-01-16,St. James's Hospital,10,0,10
2023-01-16,St. Vincent's University Hospital,14,0,14
2023-01-16,Tallaght University Hospital,23,0,23
2023-01-16,Tipperary University Hospital,2,0,2
2023-01-16,UH Kerry,16,0,16
2023-01-16,UH Limerick,4,24,28
2023-01-16,UH Waterford,0,0,0
2023-01-16,Wexford General Hospital,11,3,14
2023-01-17,Beaumont Hospital,11,0,11
2023-01-17,CHI at Crumlin,2,0,2
2023-01-17,CHI at Tallaght,0,0,0
2023-01-17,CHI at Temple Street,11,0,11
2023-01-17,Cavan General Hospital,2,1,3
2023-01-17,Connolly Hospital,0,0,0
2023-01-17,Cork University Hospital,28,9,37
2023-01-17,Galway University Hospital,24,5,29
2023-01-17,Letterkenny University Hospital,29,0,29
2023-01-17,MRH Mullingar,9,0,9
2023-01-17,MRH Portlaoise,4,0,4
2023-01-17,MRH Tullamore,0,0,0
2023-01-17,Mater Misericordiae University Hospital,30,0,30
2023-01-17,Mayo University Hospital,14,9,23
2023-01-17,Mercy University Hospital,12,0,12
