Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
01/01/2023,Beaumont Hospital,0,0,0,24,19,,
01/01/2023,Cavan General Hospital,14,1,15,8,4,,
01/01/2023,Connolly Hospital,7,,7,33,9,,
01/01/2023,Mater Misericordiae University Hospital,38,,38,0,36,5,
01/01/2023,Our Lady of Lourdes Hospital,17,1,18,16,38,,
01/01/2023,Our Lady's Hospital Navan,3,0,3,17,4,,
01/01/2023,CHI at Crumlin,4,,4,,,,
01/01/2023,CHI at Tallaght,0,0,0,,0,,
01/01/2023,HSE Dublin and North East Total,83,2,85,98,110,5,0
01/01/2023,CHI at Temple Street,8,,8,,,1,
01/01/2023,MRH Mullingar,11,0,11,11,1,1,
01/01/2023,MRH Portlaoise,8,,8,0,5,,
01/01/2023,MRH Tullamore,6,0,6,9,5,,
01/01/2023,Naas General Hospital,15,,15,0,14,5,
01/01/2023,St. James's Hospital,24,0,24,0,62,5,
01/01/2023,Tallaght University Hospital,21,0,21,0,42,4,
01/01/2023,St Luke's General Hospital Kilkenny,11,0,11,15,8,8,
01/01/2023,St. Vincent's University Hospital,33,0,33,0,44,10,
01/01/2023,Tipperary University Hospital,6,,6,21,2,1,
01/01/2023,HSE Dublin and Midlands Total,143,0,143,56,183,35,0
01/01/2023,UH Waterford,0,0,0,45,20,,
01/01/2023,Wexford General Hospital,13,1,14,21,12,1,
01/01/2023,Cork University Hospital,31,0,31,24,22,2,
01/01/2023,Mercy University Hospital,25,0,25,8,19,11,
01/01/2023,UH Kerry,23,,23,0,12,5,
01/01/2023,UH Limerick,36,12,48,37,19,14,
01/01/2023,Galway University Hospital,28,2,30,13,20,4,
01/01/2023,Letterkenny University Hospital,15,,15,14,22,3,
01/01/2023,HSE Dublin and South East Total,171,15,186,162,146,40,0
01/01/2023,Mayo University Hospital,12,5,17,9,14,10,
01/01/2023,Portiuncula University Hospital,9,0,9,13,4,1,
01/01/2023,Sligo University Hospital,26,,26,7,10,9,
01/01/2023,National Total,444,22,466,345,467,100,Unnamed: 20_level_1
02/01/2023,Beaumont Hospital,9,0,9,0,19,,
02/01/2023,Cavan General Hospital,25,2,27,10,4,3,
02/01/2023,Connolly Hospital,11,,11,39,9,,
02/01/2023,Mater Misericordiae University Hospital,41,,41,0,36,17,
02/01/2023,Our Lady of Lourdes Hospital,21,3,24,30,38,3,
02/01/2023,Our Lady's Hospital Navan,1,0,1,20,4,,
02/01/2023,CHI at Crumlin,3,,3,,,,
02/01/2023,CHI at Tallaght,0,,0,,0,,
02/01/2023,HSE Dublin and North East Total,111,5,116,99,110,23,0
02/01/2023,CHI at Temple Street,4,,4,,,,
02/01/2023,MRH Mullingar,10,0,10,11,1,,
02/01/2023,MRH Portlaoise,6,0,6,11,5,,
02/01/2023,MRH Tullamore,11,,11,18,5,,
02/01/2023,Naas General Hospital,31,,31,7,14,11,
02/01/2023,St. James's Hospital,23,0,23,0,62,3,
02/01/2023,Tallaght University Hospital,22,0,22,0,42,6,
02/01/2023,St Luke's General Hospital Kilkenny,12,6,18,21,8,4,
02/01/2023,St. Vincent's University Hospital,48,0,48,0,44,14,
02/01/2023,Tipperary University Hospital,8,0,8,27,2,1,
02/01/2023,HSE Dublin and Midlands Total,175,6,181,95,183,39,0
02/01/2023,UH Waterford,0,0,0,56,20,,
02/01/2023,Wexford General Hospital,20,4,24,25,12,2,
02/01/2023,Cork University Hospital,33,0,33,21,22,8,
02/01/2023,Mercy University Hospital,29,0,29,10,19,17,
02/01/2023,UH Kerry,28,0,28,12,12,11,
02/01/2023,UH Limerick,48,24,72,72,19,20,
02/01/2023,Galway University Hospital,27,6,33,22,20,6,
02/01/2023,Letterkenny University Hospital,38,,38,0,22,9,
02/01/2023,HSE Dublin and South East Total,223,34,257,218,146,73,0
02/01/2023,Mayo University Hospital,18,5,23,20,14,6,
02/01/2023,Portiuncula University Hospital,13,0,13,16,4,4,
02/01/2023,Sligo University Hospital,34,,34,7,10,22,
02/01/2023,National Total,574,50,624,455,467,167,Unnamed: 20_level_1
03/01/2023,Beaumont Hospital,28,,28,0,19,,
03/01/2023,Cavan General Hospital,12,2,14,3,4,3,
03/01/2023,Connolly Hospital,21,,21,42,9,4,
03/01/2023,Mater Misericordiae University Hospital,44,,44,0,36,11,
03/01/2023,Our Lady of Lourdes Hospital,30,3,33,26,38,4,
03/01/2023,Our Lady's Hospital Navan,10,,10,17,4,,
03/01/2023,CHI at Crumlin,8,,8,,,,
03/01/2023,CHI at Tallaght,6,,6,,0,1,
03/01/2023,HSE Dublin and North East Total,159,5,164,88,110,23,0
03/01/2023,CHI at Temple Street,9,,9,,,,
03/01/2023,MRH Mullingar,20,0,20,15,1,1,
03/01/2023,MRH Portlaoise,12,,12,11,5,1,
03/01/2023,MRH Tullamore,5,0,5,28,5,,
03/01/2023,Naas General Hospital,27,,27,14,14,12,
03/01/2023,St. James's Hospital,37,0,37,0,62,8,
03/01/2023,Tallaght University Hospital,33,0,33,0,42,6,
03/01/2023,St Luke's General Hospital Kilkenny,21,6,27,22,8,16,
03/01/2023,St. Vincent's University Hospital,55,0,55,0,44,25,
03/01/2023,Tipperary University Hospital,18,0,18,28,2,5,
03/01/2023,HSE Dublin and Midlands Total,237,6,243,118,183,74,0
03/01/2023,UH Waterford,0,0,0,61,20,,
03/01/2023,Wexford General Hospital,29,6,35,40,12,8,
03/01/2023,Cork University Hospital,52,0,52,8,22,19,
03/01/2023,Mercy University Hospital,31,0,31,11,19,17,
03/01/2023,UH Kerry,40,0,40,14,12,19,
03/01/2023,UH Limerick,44,32,76,42,15,23,
03/01/2023,Galway University Hospital,45,7,52,0,20,17,
03/01/2023,Letterkenny University Hospital,28,13,41,11,22,19,
03/01/2023,HSE Dublin and South East Total,269,58,327,187,142,122,0
03/01/2023,Mayo University Hospital,15,9,24,22,14,11,
03/01/2023,Portiuncula University Hospital,-6,16,10,16,4,2,
03/01/2023,Sligo University Hospital,18,18,36,12,10,21,
03/01/2023,National Total,692,112,804,443,463,253,Unnamed: 20_level_1
04/01/2023,Beaumont Hospital,20,,20,26,22,,
04/01/2023,Cavan General Hospital,17,2,19,8,3,,
04/01/2023,Connolly Hospital,8,0,8,43,9,,
04/01/2023,Mater Misericordiae University Hospital,43,,43,0,41,14,
04/01/2023,Our Lady of Lourdes Hospital,16,1,17,25,36,,
04/01/2023,Our Lady's Hospital Navan,16,,16,17,4,3,
04/01/2023,CHI at Crumlin,6,,6,,,,
04/01/2023,CHI at Tallaght,2,,2,,0,,
04/01/2023,HSE Dublin and North East Total,128,3,131,119,115,17,0
04/01/2023,CHI at Temple Street,10,,10,,,2,
04/01/2023,MRH Mullingar,7,,7,0,0,,
04/01/2023,MRH Portlaoise,6,0,6,11,5,,
04/01/2023,MRH Tullamore,3,0,3,22,4,,
04/01/2023,Naas General Hospital,21,4,25,13,14,7,
04/01/2023,St. James's Hospital,39,0,39,0,59,13,
04/01/2023,Tallaght University Hospital,40,0,40,6,43,11,
04/01/2023,St Luke's General Hospital Kilkenny,18,6,24,26,8,15,
04/01/2023,St. Vincent's University Hospital,40,0,40,27,49,20,
04/01/2023,Tipperary University Hospital,14,0,14,29,2,6,
04/01/2023,HSE Dublin and Midlands Total,198,10,208,134,184,74,0
04/01/2023,UH Waterford,0,,0,65,19,,
04/01/2023,Wexford General Hospital,24,7,31,41,13,11,
04/01/2023,Cork University Hospital,43,3,46,26,22,12,
04/01/2023,Mercy University Hospital,19,0,19,11,17,7,
04/01/2023,UH Kerry,25,0,25,14,17,9,
04/01/2023,UH Limerick,20,23,43,45,14,5,
04/01/2023,Galway University Hospital,27,7,34,10,20,6,
04/01/2023,Letterkenny University Hospital,18,11,29,14,22,5,
04/01/2023,HSE Dublin and South East Total,176,51,227,226,144,55,0
04/01/2023,Mayo University Hospital,16,10,26,23,10,9,
04/01/2023,Portiuncula University Hospital,-6,15,9,15,4,,
04/01/2023,Sligo University Hospital,21,23,44,14,10,19,
04/01/2023,National Total,533,112,645,531,467,174,Unnamed: 20_level_1
05/01/2023,Beaumont Hospital,24,,24,0,20,,
05/01/2023,Cavan General Hospital,10,1,11,6,3,3,
05/01/2023,Connolly Hospital,1,0,1,39,9,,
05/01/2023,Mater Misericordiae University Hospital,18,,18,0,41,6,
05/01/2023,Our Lady of Lourdes Hospital,21,,21,20,41,,
05/01/2023,Our Lady's Hospital Navan,0,0,0,22,4,,
05/01/2023,CHI at Crumlin,7,,7,,,,
05/01/2023,CHI at Tallaght,1,,1,,0,,
05/01/2023,HSE Dublin and North East Total,82,1,83,87,118,9,0
05/01/2023,CHI at Temple Street,5,,5,,,,
05/01/2023,MRH Mullingar,6,0,6,11,1,,
05/01/2023,MRH Portlaoise,0,0,0,11,6,,
05/01/2023,MRH Tullamore,0,0,0,18,5,,
05/01/2023,Naas General Hospital,15,4,19,13,14,7,
05/01/2023,St. James's Hospital,38,0,38,0,58,7,
05/01/2023,Tallaght University Hospital,37,0,37,0,43,14,
05/01/2023,St Luke's General Hospital Kilkenny,16,6,22,22,8,13,
05/01/2023,St. Vincent's University Hospital,21,0,21,24,49,6,
05/01/2023,Tipperary University Hospital,10,,10,26,2,3,
05/01/2023,HSE Dublin and Midlands Total,148,10,158,125,186,50,0
05/01/2023,UH Waterford,0,,0,65,18,,
05/01/2023,Wexford General Hospital,12,3,15,27,12,3,
05/01/2023,Cork University Hospital,34,3,37,27,22,12,
05/01/2023,Mercy University Hospital,17,,17,8,16,3,
05/01/2023,UH Kerry,18,0,18,14,18,5,
05/01/2023,UH Limerick,14,23,37,36,18,1,
05/01/2023,Galway University Hospital,25,10,35,41,20,11,
05/01/2023,Letterkenny University Hospital,22,13,35,25,24,6,
05/01/2023,HSE Dublin and South East Total,142,52,194,243,148,41,0
05/01/2023,Mayo University Hospital,14,11,25,21,11,9,
05/01/2023,Portiuncula University Hospital,-5,16,11,16,4,,
05/01/2023,Sligo University Hospital,12,12,24,8,10,12,
05/01/2023,National Total,393,102,495,500,477,121,Unnamed: 20_level_1
06/01/2023,Beaumont Hospital,18,,18,0,25,,
06/01/2023,Cavan General Hospital,4,2,6,4,5,2,
06/01/2023,Connolly Hospital,5,,5,27,8,,
06/01/2023,Mater Misericordiae University Hospital,18,,18,0,39,2,
06/01/2023,Our Lady of Lourdes Hospital,9,3,12,23,39,,
06/01/2023,Our Lady's Hospital Navan,16,,16,21,4,1,
06/01/2023,CHI at Crumlin,5,,5,,,,
06/01/2023,CHI at Tallaght,0,,0,,0,,
06/01/2023,HSE Dublin and North East Total,75,5,80,75,120,5,0
06/01/2023,CHI at Temple Street,2,,2,,,,
06/01/2023,MRH Mullingar,7,0,7,10,0,,
06/01/2023,MRH Portlaoise,0,0,0,9,6,,
06/01/2023,MRH Tullamore,0,0,0,11,6,,
06/01/2023,Naas General Hospital,24,4,28,10,14,10,
06/01/2023,St. James's Hospital,34,0,34,0,56,8,
06/01/2023,Tallaght University Hospital,14,,14,0,40,5,
06/01/2023,St Luke's General Hospital Kilkenny,21,5,26,17,10,11,
06/01/2023,St. Vincent's University Hospital,22,0,22,28,55,5,
06/01/2023,Tipperary University Hospital,1,,1,14,4,,
06/01/2023,HSE Dublin and Midlands Total,125,9,134,99,191,39,0
06/01/2023,UH Waterford,0,,0,57,18,,
06/01/2023,Wexford General Hospital,11,4,15,34,9,4,
06/01/2023,Cork University Hospital,30,8,38,23,27,11,
06/01/2023,Mercy University Hospital,11,,11,14,11,3,
06/01/2023,UH Kerry,19,0,19,14,24,5,
06/01/2023,UH Limerick,20,14,34,36,17,6,
06/01/2023,Galway University Hospital,4,5,9,14,18,,
06/01/2023,Letterkenny University Hospital,20,8,28,11,25,5,
06/01/2023,HSE Dublin and South East Total,115,39,154,203,149,34,0
06/01/2023,Mayo University Hospital,12,10,22,18,12,10,
06/01/2023,Portiuncula University Hospital,5,0,5,13,4,,
06/01/2023,Sligo University Hospital,14,11,25,8,12,6,
06/01/2023,National Total,346,74,420,416,488,94,Unnamed: 20_level_1
07/01/2023,Beaumont Hospital,0,0,0,0,25,,
07/01/2023,Cavan General Hospital,5,1,6,7,5,,
07/01/2023,Connolly Hospital,2,0,2,46,8,,
07/01/2023,Mater Misericordiae University Hospital,9,,9,0,39,,
07/01/2023,Our Lady of Lourdes Hospital,4,0,4,5,38,,
07/01/2023,Our Lady's Hospital Navan,-16,17,1,0,4,,
07/01/2023,CHI at Crumlin,1,,1,,,,
07/01/2023,CHI at Tallaght,3,,3,,0,,
07/01/2023,HSE Dublin and North East Total,8,18,26,58,119,0,0
07/01/2023,CHI at Temple Street,1,,1,,,,
07/01/2023,MRH Mullingar,9,0,9,12,1,,
07/01/2023,MRH Portlaoise,13,0,13,10,6,,
07/01/2023,MRH Tullamore,0,0,0,6,6,,
07/01/2023,Naas General Hospital,15,3,18,10,14,8,
07/01/2023,St. James's Hospital,17,,17,0,56,1,
07/01/2023,Tallaght University Hospital,6,0,6,0,31,,
07/01/2023,St Luke's General Hospital Kilkenny,14,0,14,12,9,6,
07/01/2023,St. Vincent's University Hospital,20,,20,0,53,3,
07/01/2023,Tipperary University Hospital,4,0,4,25,4,,
07/01/2023,HSE Dublin and Midlands Total,99,3,102,75,180,18,0
07/01/2023,UH Waterford,0,0,0,43,17,,
07/01/2023,Wexford General Hospital,4,,4,22,9,,
07/01/2023,Cork University Hospital,23,3,26,22,32,3,
07/01/2023,Mercy University Hospital,9,,9,8,13,2,
07/01/2023,UH Kerry,19,0,19,20,24,6,
07/01/2023,UH Limerick,5,5,10,46,16,,
07/01/2023,Galway University Hospital,15,0,15,0,18,1,
07/01/2023,Letterkenny University Hospital,11,6,17,8,21,4,
07/01/2023,HSE Dublin and South East Total,86,14,100,169,150,16,0
07/01/2023,Mayo University Hospital,9,6,15,7,11,4,
07/01/2023,Portiuncula University Hospital,-4,10,6,0,4,,
07/01/2023,Sligo University Hospital,8,11,19,8,12,4,
07/01/2023,National Total,206,62,268,317,476,42,Unnamed: 20_level_1
08/01/2023,Beaumont Hospital,0,0,0,0,25,,
08/01/2023,Cavan General Hospital,12,1,13,10,5,2,
08/01/2023,Connolly Hospital,0,0,0,34,8,,
08/01/2023,Mater Misericordiae University Hospital,9,,9,0,39,,
08/01/2023,Our Lady of Lourdes Hospital,6,2,8,21,38,,
08/01/2023,Our Lady's Hospital Navan,0,,0,22,4,,
08/01/2023,CHI at Crumlin,2,,2,,,,
08/01/2023,CHI at Tallaght,0,,0,,0,,
08/01/2023,HSE Dublin and North East Total,29,3,32,87,119,2,0
08/01/2023,CHI at Temple Street,0,,0,,,,
08/01/2023,MRH Mullingar,9,0,9,12,1,1,
08/01/2023,MRH Portlaoise,6,0,6,11,6,,
08/01/2023,MRH Tullamore,0,0,0,8,6,,
08/01/2023,Naas General Hospital,12,4,16,13,14,4,
08/01/2023,St. James's Hospital,11,,11,0,56,,
08/01/2023,Tallaght University Hospital,19,,19,0,31,,
08/01/2023,St Luke's General Hospital Kilkenny,14,,14,15,9,6,
08/01/2023,St. Vincent's University Hospital,30,,30,0,53,8,
08/01/2023,Tipperary University Hospital,9,0,9,25,4,,
08/01/2023,HSE Dublin and Midlands Total,110,4,114,84,180,19,0
08/01/2023,UH Waterford,0,0,0,45,17,,
08/01/2023,Wexford General Hospital,15,,15,31,9,2,
08/01/2023,Cork University Hospital,12,1,13,25,32,2,
08/01/2023,Mercy University Hospital,3,0,3,8,13,1,
08/01/2023,UH Kerry,16,0,16,20,24,6,
08/01/2023,UH Limerick,5,9,14,40,16,1,
08/01/2023,Galway University Hospital,2,0,2,4,18,2,
08/01/2023,Letterkenny University Hospital,23,,23,10,21,9,
08/01/2023,HSE Dublin and South East Total,76,10,86,183,150,23,0
08/01/2023,Mayo University Hospital,6,8,14,8,11,5,
08/01/2023,Portiuncula University Hospital,9,0,9,9,4,2,
08/01/2023,Sligo University Hospital,1,14,15,18,12,9,
08/01/2023,National Total,231,39,270,389,476,60,Unnamed: 20_level_1
09/01/2023,Beaumont Hospital,6,,6,0,25,,
09/01/2023,Cavan General Hospital,20,1,21,6,5,6,
09/01/2023,Connolly Hospital,0,0,0,37,8,,
09/01/2023,Mater Misericordiae University Hospital,18,,18,0,39,2,
09/01/2023,Our Lady of Lourdes Hospital,15,2,17,20,38,,
09/01/2023,Our Lady's Hospital Navan,8,0,8,21,4,,
09/01/2023,CHI at Crumlin,1,,1,,,,
09/01/2023,CHI at Tallaght,3,,3,,0,,
09/01/2023,HSE Dublin and North East Total,71,3,74,84,119,8,0
09/01/2023,CHI at Temple Street,2,,2,,,,
09/01/2023,MRH Mullingar,12,0,12,12,1,,
09/01/2023,MRH Portlaoise,4,0,4,10,6,,
09/01/2023,MRH Tullamore,0,0,0,14,6,,
09/01/2023,Naas General Hospital,13,4,17,10,14,5,
09/01/2023,St. James's Hospital,23,0,23,0,56,2,
09/01/2023,Tallaght University Hospital,12,0,12,6,32,4,
09/01/2023,St Luke's General Hospital Kilkenny,16,5,21,17,9,11,
09/01/2023,St. Vincent's University Hospital,22,0,22,24,53,12,
09/01/2023,Tipperary University Hospital,19,,19,29,4,4,
09/01/2023,HSE Dublin and Midlands Total,123,9,132,122,181,38,0
09/01/2023,UH Waterford,0,,0,60,17,,
09/01/2023,Wexford General Hospital,20,4,24,64,9,5,
09/01/2023,Cork University Hospital,14,2,16,25,32,,
09/01/2023,Mercy University Hospital,11,0,11,8,11,1,
09/01/2023,UH Kerry,15,0,15,14,24,5,
09/01/2023,UH Limerick,10,20,30,20,16,1,
09/01/2023,Galway University Hospital,5,2,7,0,18,,
09/01/2023,Letterkenny University Hospital,15,8,23,23,21,13,
09/01/2023,HSE Dublin and South East Total,90,36,126,214,148,25,0
09/01/2023,Mayo University Hospital,11,9,20,18,10,8,
09/01/2023,Portiuncula University Hospital,-1,13,12,13,4,4,
09/01/2023,Sligo University Hospital,5,13,18,12,12,13,
09/01/2023,National Total,299,83,382,463,474,96,Unnamed: 20_level_1
10/01/2023,Beaumont Hospital,15,,15,0,29,,
10/01/2023,Cavan General Hospital,21,2,23,8,5,9,
10/01/2023,Connolly Hospital,4,,4,33,7,,
10/01/2023,Mater Misericordiae University Hospital,31,,31,0,41,4,
10/01/2023,Our Lady of Lourdes Hospital,17,2,19,20,34,,
10/01/2023,Our Lady's Hospital Navan,5,0,5,20,4,,
10/01/2023,CHI at Crumlin,0,,0,,,,
10/01/2023,CHI at Tallaght,0,,0,,0,,
10/01/2023,HSE Dublin and North East Total,93,4,97,81,120,13,0
10/01/2023,CHI at Temple Street,5,,5,0,,,
10/01/2023,MRH Mullingar,12,0,12,12,0,,
10/01/2023,MRH Portlaoise,4,0,4,11,10,,
10/01/2023,MRH Tullamore,0,,0,11,6,,
10/01/2023,Naas General Hospital,19,5,24,14,14,8,
10/01/2023,St. James's Hospital,22,0,22,0,52,,
10/01/2023,Tallaght University Hospital,11,0,11,6,32,,
10/01/2023,St Luke's General Hospital Kilkenny,16,4,20,17,16,9,
10/01/2023,St. Vincent's University Hospital,38,0,38,27,50,11,
10/01/2023,Tipperary University Hospital,10,0,10,28,6,5,
10/01/2023,HSE Dublin and Midlands Total,137,9,146,126,186,33,0
10/01/2023,UH Waterford,0,,0,60,18,,
10/01/2023,Wexford General Hospital,13,4,17,51,9,6,
10/01/2023,Cork University Hospital,30,4,34,26,34,,
10/01/2023,Mercy University Hospital,14,0,14,11,12,3,
10/01/2023,UH Kerry,18,0,18,14,20,3,
10/01/2023,UH Limerick,10,16,26,45,16,,
10/01/2023,Galway University Hospital,12,3,15,23,16,,
10/01/2023,Letterkenny University Hospital,15,6,21,16,16,4,
10/01/2023,HSE Dublin and South East Total,112,33,145,246,141,16,0
10/01/2023,Mayo University Hospital,2,8,10,13,10,4,
10/01/2023,Portiuncula University Hospital,-9,13,4,13,4,,
10/01/2023,Sligo University Hospital,7,6,13,11,12,4,
10/01/2023,National Total,342,73,415,490,473,70,Unnamed: 20_level_1
11/01/2023,Beaumont Hospital,0,,0,0,27,,
11/01/2023,Cavan General Hospital,12,2,14,8,5,2,
11/01/2023,Connolly Hospital,7,0,7,34,7,,
11/01/2023,Mater Misericordiae University Hospital,34,,34,0,41,8,
11/01/2023,Our Lady of Lourdes Hospital,7,1,8,20,34,,
11/01/2023,Our Lady's Hospital Navan,5,0,5,21,8,,
11/01/2023,CHI at Crumlin,0,,0,,,,
11/01/2023,CHI at Tallaght,2,,2,,0,,
11/01/2023,HSE Dublin and North East Total,67,3,70,83,122,10,0
11/01/2023,CHI at Temple Street,4,,4,,,,
11/01/2023,MRH Mullingar,19,0,19,0,0,1,
11/01/2023,MRH Portlaoise,0,0,0,11,10,,
11/01/2023,MRH Tullamore,0,0,0,0,6,,
11/01/2023,Naas General Hospital,22,,22,5,8,5,
11/01/2023,St. James's Hospital,31,0,31,0,48,,
11/01/2023,Tallaght University Hospital,27,,27,6,38,3,
11/01/2023,St Luke's General Hospital Kilkenny,14,5,19,32,15,7,
11/01/2023,St. Vincent's University Hospital,37,0,37,24,48,12,
11/01/2023,Tipperary University Hospital,14,0,14,24,6,1,
11/01/2023,HSE Dublin and Midlands Total,168,5,173,102,179,29,0
11/01/2023,UH Waterford,0,0,0,50,15,,
11/01/2023,Wexford General Hospital,12,2,14,51,10,1,
11/01/2023,Cork University Hospital,33,,33,23,33,9,
11/01/2023,Mercy University Hospital,15,0,15,11,17,3,
11/01/2023,UH Kerry,12,,12,14,20,1,
11/01/2023,UH Limerick,12,14,26,35,17,1,
11/01/2023,Galway University Hospital,6,3,9,22,16,1,
11/01/2023,Letterkenny University Hospital,16,1,17,23,19,8,
11/01/2023,HSE Dublin and South East Total,106,20,126,229,147,24,0
11/01/2023,Mayo University Hospital,12,,12,14,11,2,
11/01/2023,Portiuncula University Hospital,-3,12,9,12,6,,
11/01/2023,Sligo University Hospital,9,6,15,6,12,5,
11/01/2023,National Total,359,46,405,446,477,70,Unnamed: 20_level_1
12/01/2023,Beaumont Hospital,7,,7,0,25,,
12/01/2023,Cavan General Hospital,12,,12,6,5,3,
12/01/2023,Connolly Hospital,6,0,6,33,7,,
12/01/2023,Mater Misericordiae University Hospital,29,,29,0,46,3,
12/01/2023,Our Lady of Lourdes Hospital,7,0,7,14,32,,
12/01/2023,Our Lady's Hospital Navan,11,0,11,22,8,1,
12/01/2023,CHI at Crumlin,5,,5,,,,
12/01/2023,CHI at Tallaght,0,,0,,0,,
12/01/2023,HSE Dublin and North East Total,77,0,77,75,123,7,0
12/01/2023,CHI at Temple Street,2,,2,,,1,
12/01/2023,MRH Mullingar,12,0,12,0,0,3,
12/01/2023,MRH Portlaoise,0,0,0,8,9,,
12/01/2023,MRH Tullamore,0,,0,2,5,,
12/01/2023,Naas General Hospital,12,5,17,14,11,,
12/01/2023,St. James's Hospital,27,0,27,0,53,1,
12/01/2023,Tallaght University Hospital,42,0,42,6,38,13,
12/01/2023,St Luke's General Hospital Kilkenny,9,3,12,23,12,5,
12/01/2023,St. Vincent's University Hospital,30,0,30,24,48,9,
12/01/2023,Tipperary University Hospital,7,,7,29,6,1,
12/01/2023,HSE Dublin and Midlands Total,141,8,149,106,182,33,0
12/01/2023,UH Waterford,0,,0,41,14,,
12/01/2023,Wexford General Hospital,2,2,4,31,10,,
12/01/2023,Cork University Hospital,24,8,32,36,28,3,
12/01/2023,Mercy University Hospital,11,0,11,11,18,1,
12/01/2023,UH Kerry,22,0,22,19,17,,
12/01/2023,UH Limerick,7,20,27,43,17,,
12/01/2023,Galway University Hospital,5,7,12,0,16,1,
12/01/2023,Letterkenny University Hospital,5,8,13,9,19,4,
12/01/2023,HSE Dublin and South East Total,76,45,121,190,139,9,0
12/01/2023,Mayo University Hospital,9,,9,12,12,3,
12/01/2023,Portiuncula University Hospital,12,0,12,11,5,,
12/01/2023,Sligo University Hospital,12,,12,6,11,3,
12/01/2023,National Total,327,53,380,400,472,55,Unnamed: 20_level_1
13/01/2023,Beaumont Hospital,5,0,5,26,22,,
13/01/2023,Cavan General Hospital,10,2,12,6,5,1,
13/01/2023,Connolly Hospital,5,0,5,28,7,,
13/01/2023,Mater Misericordiae University Hospital,19,,19,0,42,3,
13/01/2023,Our Lady of Lourdes Hospital,2,2,4,19,32,,
13/01/2023,Our Lady's Hospital Navan,0,0,0,21,5,,
13/01/2023,CHI at Crumlin,7,,7,,,,
13/01/2023,CHI at Tallaght,0,,0,,0,,
13/01/2023,HSE Dublin and North East Total,48,4,52,100,113,4,0
13/01/2023,CHI at Temple Street,1,,1,,,,
13/01/2023,MRH Mullingar,10,0,10,0,0,2,
13/01/2023,MRH Portlaoise,0,,0,7,8,,
13/01/2023,MRH Tullamore,0,,0,2,5,,
13/01/2023,Naas General Hospital,10,5,15,14,11,1,
13/01/2023,St. James's Hospital,23,0,23,0,55,1,
13/01/2023,Tallaght University Hospital,45,0,45,0,40,15,
13/01/2023,St Luke's General Hospital Kilkenny,14,1,15,33,13,3,
13/01/2023,St. Vincent's University Hospital,28,,28,21,49,6,
13/01/2023,Tipperary University Hospital,3,,3,20,13,2,
13/01/2023,HSE Dublin and Midlands Total,134,6,140,97,194,30,0
13/01/2023,UH Waterford,0,,0,44,14,,
13/01/2023,Wexford General Hospital,8,1,9,25,11,,
13/01/2023,Cork University Hospital,25,3,28,20,31,1,
13/01/2023,Mercy University Hospital,18,0,18,8,19,5,
13/01/2023,UH Kerry,13,0,13,20,16,5,
13/01/2023,UH Limerick,2,11,13,47,15,1,
13/01/2023,Galway University Hospital,19,,19,8,16,2,
13/01/2023,Letterkenny University Hospital,10,5,15,4,18,3,
13/01/2023,HSE Dublin and South East Total,95,20,115,176,140,17,0
13/01/2023,Mayo University Hospital,5,4,9,5,12,1,
13/01/2023,Portiuncula University Hospital,7,0,7,12,7,,
13/01/2023,Sligo University Hospital,7,6,13,7,11,1,
13/01/2023,National Total,296,40,336,397,477,53,Unnamed: 20_level_1
14/01/2023,Beaumont Hospital,0,0,0,14,20,,
14/01/2023,Cavan General Hospital,2,0,2,8,5,,
14/01/2023,Connolly Hospital,0,0,0,24,7,,
14/01/2023,Mater Misericordiae University Hospital,6,,6,0,39,,
14/01/2023,Our Lady of Lourdes Hospital,4,0,4,9,32,,
14/01/2023,Our Lady's Hospital Navan,0,,0,19,5,,
14/01/2023,CHI at Crumlin,4,,4,,2,,
14/01/2023,CHI at Tallaght,0,,0,,0,,
14/01/2023,HSE Dublin and North East Total,16,0,16,74,110,0,0
14/01/2023,CHI at Temple Street,3,,3,,2,,
14/01/2023,MRH Mullingar,2,0,2,0,0,,
14/01/2023,MRH Portlaoise,0,0,0,5,8,,
14/01/2023,MRH Tullamore,0,0,0,0,4,,
14/01/2023,Naas General Hospital,15,,15,0,12,4,
14/01/2023,St. James's Hospital,18,0,18,0,54,1,
14/01/2023,Tallaght University Hospital,26,0,26,12,39,4,
14/01/2023,St Luke's General Hospital Kilkenny,1,6,7,16,12,,
14/01/2023,St. Vincent's University Hospital,26,0,26,0,49,2,
14/01/2023,Tipperary University Hospital,2,0,2,12,7,,
14/01/2023,HSE Dublin and Midlands Total,93,6,99,45,187,11,0
14/01/2023,UH Waterford,0,0,0,25,19,,
14/01/2023,Wexford General Hospital,1,0,1,18,12,,
14/01/2023,Cork University Hospital,22,0,22,14,33,2,
14/01/2023,Mercy University Hospital,10,,10,8,21,,
14/01/2023,UH Kerry,12,0,12,14,20,2,
14/01/2023,UH Limerick,4,5,9,29,15,,
14/01/2023,Galway University Hospital,13,1,14,21,16,1,
14/01/2023,Letterkenny University Hospital,15,,15,4,17,1,
14/01/2023,HSE Dublin and South East Total,77,6,83,133,153,6,0
14/01/2023,Mayo University Hospital,9,5,14,5,12,3,
