week_start,region,ed_trolleys,ward_trolleys,total_trolleys,days_in_week
2024-02-12,HSE Mid West,139,278,417,7
2024-02-12,HSE South West,227,61,288,7
2024-02-12,HSE West and North West,313,273,586,7
2024-02-19,HSE Dublin and Midlands,472,22,494,7
2024-02-19,HSE Dublin and North East,388,2,390,7
2024-02-19,HSE Dublin and South East,223,50,273,7
2024-02-19,HSE Mid West,117,270,387,7
2024-02-19,HSE South West,217,35,252,7
2024-02-19,HSE West and North West,247,227,474,7
2024-02-26,HSE Dublin and Midlands,506,37,543,7
2024-02-26,HSE Dublin and North East,285,0,285,7
2024-02-26,HSE Dublin and South East,255,33,288,7
2024-02-26,HSE Mid West,135,286,421,7
2024-02-26,HSE South West,265,81,346,7
2024-02-26,HSE West and North West,182,186,368,7
2024-03-04,HSE Dublin and Midlands,485,27,512,7
2024-03-04,HSE Dublin and North East,277,0,277,7
2024-03-04,HSE Dublin and South East,286,16,302,7
2024-03-04,HSE Mid West,151,247,398,7
2024-03-04,HSE South West,213,54,267,7
2024-03-04,HSE West and North West,172,145,315,7
2024-03-11,HSE Dublin and Midlands,498,27,525,7
2024-03-11,HSE Dublin and North East,362,2,364,7
2024-03-11,HSE Dublin and South East,321,26,347,7
2024-03-11,HSE Mid West,101,267,368,7
2024-03-11,HSE South West,268,79,347,7
2024-03-11,HSE West and North West,150,171,321,7
2024-03-18,HSE Dublin and Midlands,403,28,431,7
2024-03-18,HSE Dublin and North East,322,0,322,7
2024-03-18,HSE Dublin and South East,224,46,270,7
2024-03-18,HSE Mid West,161,259,420,7
2024-03-18,HSE South West,298,78,376,7
2024-03-18,HSE West and North West,224,199,423,7
2024-03-25,HSE Dublin and Midlands,449,34,483,7
2024-03-25,HSE Dublin and North East,265,2,267,7
2024-03-25,HSE Dublin and South East,256,61,317,7
2024-03-25,HSE Mid West,133,291,424,7
2024-03-25,HSE South West,214,56,270,7
2024-03-25,HSE West and North West,216,172,368,7
2024-04-01,HSE Dublin and Midlands,476,36,512,7
2024-04-01,HSE Dublin and North East,257,0,257,7
2024-04-01,HSE Dublin and South East,336,45,381,7
2024-04-01,HSE Mid West,117,245,362,7
2024-04-01,HSE South West,312,81,393,7
2024-04-01,HSE West and North West,303,209,512,7
2024-04-08,HSE Dublin and Midlands,489,57,546,7
2024-04-08,HSE Dublin and North East,339,0,339,7
2024-04-08,HSE Dublin and South East,271,58,329,7
2024-04-08,HSE Mid West,103,248,351,7
2024-04-08,HSE South West,331,69,400,7
2024-04-08,HSE West and North West,352,295,647,7
2024-04-15,HSE Dublin and Midlands,453,36,489,7
2024-04-15,HSE Dublin and North East,350,0,350,7
2024-04-15,HSE Dublin and South East,304,55,359,7
2024-04-15,HSE Mid West,135,267,402,7
2024-04-15,HSE South West,216,27,243,7
2024-04-15,HSE West and North West,279,180,459,7
2024-04-22,HSE Dublin and Midlands,340,27,367,7
2024-04-22,HSE Dublin and North East,343,0,343,7
2024-04-22,HSE Dublin and South East,260,62,322,7
2024-04-22,HSE Mid West,144,272,416,7
2024-04-22,HSE South West,240,40,280,7
2024-04-22,HSE West and North West,156,147,303,7
2024-04-29,HSE Dublin and Midlands,336,42,378,7
2024-04-29,HSE Dublin and North East,256,3,259,7
2024-04-29,HSE Dublin and South East,240,35,275,7
2024-04-29,HSE Mid West,102,224,326,7
2024-04-29,HSE South West,291,85,376,7
2024-04-29,HSE West and North West,174,123,297,7
2024-05-06,HSE Dublin and Midlands,308,18,326,7
2024-05-06,HSE Dublin and North East,300,2,302,7
2024-05-06,HSE Dublin and South East,204,36,240,7
2024-05-06,HSE Mid West,98,217,315,7
2024-05-06,HSE South West,149,28,177,7
2024-05-06,HSE West and North West,244,160,404,7
2024-05-13,HSE Dublin and Midlands,388,80,468,7
2024-05-13,HSE Dublin and North East,352,4,352,7
2024-05-13,HSE Dublin and South East,176,30,206,7
2024-05-13,HSE Mid West,150,281,431,7
2024-05-13,HSE South West,167,22,189,7
2024-05-13,HSE West and North West,277,218,495,7
2024-05-20,HSE Dublin and Midlands,372,28,400,7
2024-05-20,HSE Dublin and North East,400,2,402,7
2024-05-20,HSE Dublin and South East,167,44,211,7
2024-05-20,HSE Mid West,147,290,437,7
2024-05-20,HSE South West,240,69,309,7
2024-05-20,HSE West and North West,139,138,277,7
2024-05-27,HSE Dublin and Midlands,420,65,485,7
2024-05-27,HSE Dublin and North East,247,0,247,7
2024-05-27,HSE Dublin and South East,145,16,161,7
2024-05-27,HSE Mid West,171,251,422,7
2024-05-27,HSE South West,258,41,299,7
2024-05-27,HSE West and North West,227,144,371,7
2024-06-03,HSE Dublin and Midlands,403,57,460,7
2024-06-03,HSE Dublin and North East,278,0,278,7
2024-06-03,HSE Dublin and South East,179,38,217,7
2024-06-03,HSE Mid West,109,203,312,7
2024-06-03,HSE South West,331,60,391,7
2024-06-03,HSE West and North West,200,179,379,7
2024-06-10,HSE Dublin and Midlands,367,47,414,7
2024-06-10,HSE Dublin and North East,335,0,335,7
2024-06-10,HSE Dublin and South East,196,32,228,7
2024-06-10,HSE Mid West,103,200,303,7
2024-06-10,HSE South West,288,74,362,7
2024-06-10,HSE West and North West,336,240,576,7
2024-06-17,HSE Dublin and Midlands,347,12,359,7
2024-06-17,HSE Dublin and North East,328,0,328,7
2024-06-17,HSE Dublin and South East,220,16,236,7
2024-06-17,HSE Mid West,98,184,282,7
2024-06-17,HSE South West,253,47,300,7
2024-06-17,HSE West and North West,279,198,477,7
2024-06-24,HSE Dublin and Midlands,331,0,331,7
2024-06-24,HSE Dublin and North East,346,7,353,7
2024-06-24,HSE Dublin and South East,255,15,270,7
2024-06-24,HSE Mid West,154,209,363,7
2024-06-24,HSE South West,219,29,248,7
2024-06-24,HSE West and North West,256,204,460,7
2024-07-01,HSE Dublin and Midlands,244,5,249,7
2024-07-01,HSE Dublin and North East,284,0,284,7
2024-07-01,HSE Dublin and South East,179,31,210,7
2024-07-01,HSE Mid West,156,220,376,7
2024-07-01,HSE South West,240,20,260,7
2024-07-01,HSE West and North West,199,145,340,7
2024-07-08,HSE Dublin and Midlands,258,0,258,7
