region_row,region_col,lag_weeks,ccf_median,ccf_2.5,ccf_97.5
West and North West,Dublin and South East,24,-0.07002316469145325,-0.10599350531412292,-0.029361166478675604
West and North West,Dublin and South East,25,-0.03332557350774274,-0.06815543906500658,0.0006407878826630983
West and North West,Dublin and South East,26,0.10410638043819187,0.0699605824928423,0.13599921115639646
West and North West,West and North West,-26,0.039206366118001726,-0.019092626948180678,0.09221202377156236
West and North West,West and North West,-25,0.0005021147014699341,-0.04435349307810155,0.03591524000867723
West and North West,West and North West,-24,0.025563424192645665,-0.02964613487683512,0.07554403036034862
West and North West,West and North West,-23,-0.09502303830306227,-0.13578661421163588,-0.06113678887863202
West and North West,West and North West,-22,0.007073780386809927,-0.042439369596335916,0.05285791373969487
West and North West,West and North West,-21,0.0493111830144303,0.003675135944312433,0.08548912304824946
West and North West,West and North West,-20,0.029349423596193226,-0.024703626557397353,0.07278534816654977
West and North West,West and North West,-19,-0.2528675868412127,-0.2846102938453198,-0.21869944184412182
West and North West,West and North West,-18,0.14747116361580098,0.11035251548183787,0.1706301590107174
West and North West,West and North West,-17,0.08787577167024337,0.052929060398898754,0.11384748347413447
West and North West,West and North West,-16,-0.024264510385330527,-0.052101865018871284,0.001149484129544918
West and North West,West and North West,-15,-0.039905083216147906,-0.06225970606748842,-0.02212355309648321
West and North West,West and North West,-14,0.0410564364775296,0.01933135917038214,0.06089854599763151
West and North West,West and North West,-13,-0.025992436415041974,-0.0423310313342724,-0.00876304278483365
West and North West,West and North West,-12,-0.11999991953417649,-0.12644691445457873,-0.10801662078725116
West and North West,West and North West,-11,0.06647966766447225,0.05241343371147859,0.07990677664919199
West and North West,West and North West,-10,-0.010857315236316,-0.028745728766082,0.011344130517304336
West and North West,West and North West,-9,0.011358457243173,-0.02093813953092856,0.04399295316496123
West and North West,West and North West,-8,-0.04162975403385784,-0.055630013817777414,-0.014808264378631439
West and North West,West and North West,-7,0.06741801603700703,0.03366001198058679,0.1023449194252778
West and North West,West and North West,-6,-0.011714838653547392,-0.03772326161989213,0.023380948383451297
West and North West,West and North West,-5,-0.011739974707385567,-0.046417265746764226,0.028363536094533966
West and North West,West and North West,-4,0.20769867114602347,0.16679337523011872,0.24264835458744882
West and North West,West and North West,-3,-0.04690153962982055,-0.07798549678857074,0.0010119044371350245
West and North West,West and North West,-2,-0.10644327460095365,-0.15178285053779328,-0.052358597334420845
West and North West,West and North West,-1,-0.09055506655531703,-0.1422869177766498,-0.023619151461539884
West and North West,West and North West,0,1.0,0.9999999999999991,1.0000000000000009
West and North West,West and North West,1,-0.09055506655531703,-0.1422869177766498,-0.023619151461539884
