,Date,Region,Value
287,2023-02-17,HSE West and North West,1.132097328776861
288,2023-02-18,HSE Dublin and Midlands,0.5010954503316973
289,2023-02-18,HSE Dublin and North East,0.3032646438914919
290,2023-02-18,HSE Dublin and South East,0.4222046704074687
291,2023-02-18,HSE Mid West,0.7504981128603905
292,2023-02-18,HSE South West,0.6346085815282995
293,2023-02-18,HSE West and North West,0.9346384923622922
294,2023-02-19,HSE Dublin and Midlands,0.5846113587203136
295,2023-02-19,HSE Dublin and North East,0.5896812520112342
296,2023-02-19,HSE Dublin and South East,0.494288394623378
297,2023-02-19,HSE Mid West,1.210480827194178
298,2023-02-19,HSE South West,0.877650165943393
299,2023-02-19,HSE West and North West,1.3822118549019815
300,2023-02-20,HSE Dublin and Midlands,0.8444386292626751
301,2023-02-20,HSE Dublin and North East,0.8424017885874775
302,2023-02-20,HSE Dublin and South East,0.6178604932792224
303,2023-02-20,HSE Mid West,1.4767866091768973
304,2023-02-20,HSE South West,0.9316594069245248
305,2023-02-20,HSE West and North West,1.6586542258823778
306,2023-02-21,HSE Dublin and Midlands,1.1321045359345754
307,2023-02-21,HSE Dublin and North East,0.8339777707016027
308,2023-02-21,HSE Dublin and South East,0.6075628183912354
309,2023-02-21,HSE Mid West,1.4041577595452466
310,2023-02-21,HSE South West,1.1476963708490522
311,2023-02-21,HSE West and North West,1.3163922427637917
312,2023-02-22,HSE Dublin and Midlands,1.0021909006633947
313,2023-02-22,HSE Dublin and North East,0.7413135739569803
314,2023-02-22,HSE Dublin and South East,0.6075628183912354
315,2023-02-22,HSE Mid West,1.4767866091768973
316,2023-02-22,HSE South West,0.850645545452827
317,2023-02-22,HSE West and North West,1.0794416390663093
318,2023-02-23,HSE Dublin and Midlands,1.3084158980883207
319,2023-02-23,HSE Dublin and North East,0.3538087512067406
320,2023-02-23,HSE Dublin and South East,0.5251814192873391
321,2023-02-23,HSE Mid West,1.0652231279308768
322,2023-02-23,HSE South West,1.0396778888867884
323,2023-02-23,HSE West and North West,1.0136220269281198
324,2023-02-24,HSE Dublin and Midlands,0.8351590838861622
325,2023-02-24,HSE Dublin and North East,0.4801690194948622
326,2023-02-24,HSE Dublin and South East,0.5869674686152613
327,2023-02-24,HSE Mid West,1.1136423610186437
328,2023-02-24,HSE South West,0.7561293737358462
329,2023-02-24,HSE West and North West,0.8161631905135509
330,2023-02-25,HSE Dublin and Midlands,0.5010954503316973
331,2023-02-25,HSE Dublin and North East,0.008424017885874775
332,2023-02-25,HSE Dublin and South East,0.21625117264772786
333,2023-02-25,HSE Mid West,0.3389346316143699
334,2023-02-25,HSE South West,0.5535947200566017
335,2023-02-25,HSE West and North West,0.9346384923622922
336,2023-02-26,HSE Dublin and Midlands,0.5474931772142619
337,2023-02-26,HSE Dublin and North East,0.2021764292609946
338,2023-02-26,HSE Dublin and South East,0.4428000201834428
339,2023-02-26,HSE Mid West,0.9441750452114589
340,2023-02-26,HSE South West,0.5805993405471677
341,2023-02-26,HSE West and North West,1.1584251736321367
342,2023-02-27,HSE Dublin and Midlands,1.0300295367929335
343,2023-02-27,HSE Dublin and North East,0.5138650910383613
344,2023-02-27,HSE Dublin and South East,0.5869674686152613
